CustomerID,Recency,Frequency,Monetary,RFM_Level
15513.0,6,19,14758.22,STARS
14866.0,12,12,14389.9,STARS
16705.0,7,20,14034.99,STARS
12681.0,16,22,13787.54,STARS
12621.0,6,20,13689.67,STARS
12540.0,21,17,13400.24,STARS
12433.0,11,7,13375.87,STARS
15498.0,6,27,13316.4,STARS
12477.0,24,6,13219.74,REGULARS
17735.0,110,19,13110.02,REGULARS
16525.0,10,26,13027.45,STARS
14258.0,11,9,12669.98,STARS
13078.0,1,26,12627.94,STARS
12536.0,31,3,12601.83,REGULARS
15640.0,18,15,12515.66,STARS
16000.0,152,3,12393.7,REGULARS
17340.0,33,11,12353.29,REGULARS
13113.0,6,24,12245.96,STARS
12557.0,18,5,11990.96,STARS
12939.0,38,8,11581.8,REGULARS
15125.0,27,15,11528.48,REGULARS
14194.0,20,21,11349.52,STARS
14895.0,42,20,11138.71,REGULARS
12409.0,66,3,11072.67,REGULARS
15482.0,17,12,11054.96,STARS
17581.0,67,25,11045.04,REGULARS
13319.0,19,26,10845.55,STARS
17107.0,77,6,10815.43,REGULARS
13340.0,47,7,10736.48,REGULARS
14769.0,84,8,10674.75,REGULARS
17139.0,2,12,10668.47,STARS
16779.0,10,22,10629.72,STARS
17865.0,2,20,10526.32,STARS
17706.0,46,17,10504.49,REGULARS
15251.0,4,11,10484.99,STARS
14062.0,11,12,10464.85,STARS
15615.0,12,23,10399.74,STARS
15502.0,17,12,10384.93,STARS
16180.0,102,8,10254.18,REGULARS
16843.0,7,16,10196.57,STARS
12590.0,6,2,9864.26,REGULARS
13001.0,24,13,9818.82,REGULARS
12709.0,1,15,9736.52,STARS
13458.0,7,14,9646.57,STARS
14733.0,18,12,9585.91,STARS
16523.0,17,21,9418.47,STARS
12567.0,24,10,9401.28,REGULARS
14367.0,23,16,9261.52,STARS
14667.0,12,25,9241.2,STARS
18092.0,3,11,9068.26,STARS
13969.0,18,18,9053.94,STARS
12451.0,12,5,9035.52,STARS
13488.0,10,13,8968.31,STARS
13090.0,21,14,8910.82,STARS
16033.0,6,20,8816.4,STARS
17017.0,11,20,8694.26,STARS
17243.0,16,26,8676.85,STARS
17306.0,12,19,8631.31,STARS
16656.0,4,15,8625.8,STARS
12683.0,6,15,8476.57,STARS
18139.0,19,6,8438.34,STARS
15358.0,2,22,8347.2,STARS
16558.0,24,20,8338.49,REGULARS
14056.0,17,23,8214.65,STARS
14936.0,99,8,8137.02,REGULARS
16672.0,7,20,8134.94,STARS
13854.0,2,25,8109.52,STARS
14952.0,2,11,8099.49,STARS
18109.0,5,26,8052.97,STARS
14796.0,24,17,8022.49,REGULARS
12428.0,27,9,7956.46,REGULARS
15290.0,44,18,7943.22,REGULARS
14849.0,3,25,7930.54,STARS
12757.0,6,13,7857.1,STARS
13093.0,99,8,7832.47,REGULARS
12435.0,81,2,7829.89,REGULARS
13629.0,25,11,7792.36,REGULARS
15044.0,7,17,7700.23,STARS
15194.0,80,15,7616.53,REGULARS
18172.0,6,20,7561.68,STARS
12474.0,4,18,7375.79,STARS
12980.0,10,9,7374.9,STARS
15465.0,5,18,7354.62,STARS
17396.0,41,8,7330.8,REGULARS
12583.0,1,15,7281.38,STARS
13018.0,18,28,7277.7,STARS
18229.0,1,20,7276.9,STARS
16923.0,14,19,7247.61,STARS
16729.0,7,21,7239.92,STARS
16745.0,3,17,7194.3,STARS
16873.0,92,6,7123.62,REGULARS
13324.0,32,10,7121.95,REGULARS
13985.0,1,15,7060.13,STARS
14961.0,12,9,7044.68,STARS
12766.0,59,7,6989.63,REGULARS
12798.0,12,3,6977.04,REGULARS
